Iterazione,AccelX_T1_Mean,AccelX_T1_Variance,AccelX_T1_StdDev,AccelX_T1_Max,AccelX_T1_Min,AccelX_T1_AbsDerivative,AccelY_T1_Mean,AccelY_T1_Variance,AccelY_T1_StdDev,AccelY_T1_Max,AccelY_T1_Min,AccelY_T1_AbsDerivative,AccelZ_T1_Mean,AccelZ_T1_Variance,AccelZ_T1_StdDev,AccelZ_T1_Max,AccelZ_T1_Min,AccelZ_T1_AbsDerivative,AccelX_T2_Mean,AccelX_T2_Variance,AccelX_T2_StdDev,AccelX_T2_Max,AccelX_T2_Min,AccelX_T2_AbsDerivative,AccelY_T2_Mean,AccelY_T2_Variance,AccelY_T2_StdDev,AccelY_T2_Max,AccelY_T2_Min,AccelY_T2_AbsDerivative,AccelZ_T2_Mean,AccelZ_T2_Variance,AccelZ_T2_StdDev,AccelZ_T2_Max,AccelZ_T2_Min,AccelZ_T2_AbsDerivative,AccelT1_SMA,AccelT2_SMA,Label
0,1943.413,308.042,17.551,2005,1845,28,2269.353,75.468,8.687,2300,2247,16,2739.973,78.479,8.859,2769,2719,0,1940.52,1105.93,33.256,1997,1792,30,1406.727,578.732,24.057,1453,1326,87,1107.873,728.951,26.999,1207,1058,63,6952.74,4455.12,sitting
1,1912.093,126885.245,356.21,2477,1010,617,1933.36,142106.297,376.97,2308,1112,1125,2623.327,66604.3,258.078,3039,1931,287,1952.047,47691.111,218.383,2395,1207,232,1309.793,34353.764,185.348,1923,542,80,1286.313,40883.095,202.196,1888,987,512,6468.78,4548.153333333334,sitting
2,1485.627,58523.807,241.917,2314,999,1315,1219.907,24057.111,155.104,1749,868,330,2106.52,102177.196,319.652,2933,1652,532,1858.567,32581.899,180.505,2238,1207,171,1359.72,58739.762,242.363,1923,542,123,1317.167,54915.606,234.341,1888,703,810,4812.053333333333,4535.453333333333,sitting
3,1387.373,52377.181,228.861,1753,904,64,1621.293,63086.781,251.171,1955,868,675,2394.393,83486.185,288.94,2790,1652,510,1907.947,6610.61,81.306,2090,1732,160,1290.86,27101.454,164.625,1826,865,187,1484.013,213374.093,461.924,2012,668,896,5403.06,4682.82,sitting
4,1499.733,1053.982,32.465,1632,1454,148,1818.553,444.474,21.083,1884,1768,43,2616.033,351.392,18.745,2673,2575,14,1924.313,525.255,22.918,1981,1852,34,1266.96,252.718,15.897,1309,1224,32,1988.673,717.793,26.792,2040,1903,77,5934.32,5179.946666666667,sitting
5,1426.093,5714.018,75.591,1605,1200,68,1817.053,1695.144,41.172,1895,1712,31,2575.767,2947.339,54.289,2684,2349,120,1951.22,2561.958,50.616,2128,1786,35,1237.62,2760.102,52.537,1325,1090,174,1802.747,44127.069,210.064,2046,1440,437,5818.913333333333,4991.586666666667,sitting
6,1497.033,7927.259,89.035,1691,1275,283,1813.76,1475.022,38.406,1891,1712,24,2612.947,3004.837,54.816,2729,2453,148,1933.867,2971.596,54.512,2128,1786,93,1234.5,2465.117,49.65,1325,1074,85,1806.84,35032.881,187.171,2025,1440,536,5923.74,4975.206666666667,sitting
7,1502.207,564.284,23.755,1576,1452,49,1817.893,300.189,17.326,1890,1775,63,2619.02,186.566,13.659,2658,2588,14,1925.227,241.975,15.556,1970,1884,34,1264.907,418.511,20.458,1326,1166,17,1999.14,337.707,18.377,2052,1955,54,5939.12,5189.2733333333335,sitting
8,1487.98,79.74,8.93,1512,1452,13,1822.773,51.122,7.15,1844,1804,7,2613.087,49.879,7.063,2630,2593,3,1925.813,119.018,10.91,1952,1892,7,1265.867,185.169,13.608,1297,1227,12,2013.833,190.726,13.81,2045,1972,34,5923.84,5205.513333333333,sitting
9,1492.687,145.428,12.059,1524,1456,14,1815.82,143.681,11.987,1842,1787,23,2612.9,100.277,10.014,2643,2591,10,1925.573,184.618,13.587,1969,1891,27,1269.467,244.182,15.626,1322,1229,7,2012.613,231.624,15.219,2045,1971,4,5921.406666666667,5207.653333333334,sitting
10,1475.353,693.495,26.334,1567,1369,65,1839.9,1825.33,42.724,1975,1792,93,2613.053,430.464,20.748,2686,2555,24,1920.78,292.558,17.104,1954,1848,29,1267.68,490.418,22.145,1331,1197,40,1989.64,1379.377,37.14,2040,1874,124,5928.306666666666,5178.1,sitting
11,1398.14,12404.72,111.376,1704,1168,243,1639.113,100137.994,316.446,1975,977,716,2448.02,38382.673,195.915,2686,1979,486,1943.72,839.348,28.972,2032,1873,54,1270.453,7273.114,85.283,1519,1042,310,1431.64,142894.684,378.014,1976,863,775,5485.2733333333335,4645.8133333333335,sitting
12,1607.193,13270.823,115.199,1758,1208,275,1202.587,7425.616,86.172,1348,977,138,2033.773,5313.229,72.892,2236,1910,183,1973.513,2787.516,52.797,2147,1829,87,1328.093,13754.591,117.28,1519,981,130,1365.42,37648.617,194.033,1640,955,567,4843.553333333333,4667.026666666667,sitting
13,1634.567,402.379,20.059,1680,1577,64,1172.447,876.22,29.601,1279,1108,115,1987.973,1100.226,33.17,2052,1900,106,1906.16,2178.774,46.677,2016,1770,66,1223.68,1546.884,39.33,1386,1150,54,1529.04,1759.145,41.942,1622,1381,192,4794.986666666667,4658.88,sitting
